time,val_1,val_2

668,20.40,20.54

669,20.40,20.55

670,20.40,20.55

671,20.40,20.57

672,20.40,20.60

673,20.40,20.58

674,20.40,20.54

675,20.40,20.54

676,20.40,20.54

677,20.40,20.56

678,20.40,20.55

679,20.40,20.56

680,20.50,20.56

681,20.50,20.55

682,20.50,20.54

683,20.50,20.56

684,20.50,20.56

685,20.50,20.60

686,20.50,20.61

687,20.50,20.61

688,20.50,20.63

689,20.50,20.64

690,20.50,20.66

691,20.50,20.68

692,20.50,20.68

693,20.50,20.69

694,20.50,20.68

695,20.50,20.67

696,20.50,20.67

697,20.50,20.65

698,20.50,20.61

699,20.50,20.62

700,20.50,20.62

701,20.50,20.63

702,20.50,20.62

703,20.50,20.64

704,20.50,20.67

705,20.60,20.64

706,20.60,20.63

707,20.60,20.66

708,20.60,20.67

709,20.60,20.66

710,20.60,20.63

711,20.60,20.65

712,20.60,20.64

713,20.60,20.63

714,20.60,20.63

715,20.60,20.66

716,20.60,20.68

717,20.60,20.70

718,20.60,20.71

719,20.60,20.70

720,20.60,20.72

721,20.60,20.70

722,20.60,20.71

723,20.60,20.70

724,20.60,20.71

725,20.60,20.69

726,20.60,20.71

727,20.60,20.72

728,20.60,20.72

729,20.60,20.72

730,20.60,20.75

731,20.60,20.77

732,20.60,20.77

733,20.60,20.78

734,20.60,20.78

735,20.60,20.79

736,20.70,20.76

737,20.70,20.75

738,20.70,20.76

739,20.70,20.76

740,20.70,20.71

741,20.70,20.69

742,20.70,20.68

743,20.70,20.69

744,20.70,20.70

745,20.70,20.69

746,20.70,20.69

747,20.70,20.68

748,20.70,20.68

749,20.70,20.68

750,20.70,20.71

751,20.70,20.74

752,20.70,20.75

753,20.70,20.75

754,20.70,20.74

755,20.70,20.75

756,20.70,20.75

757,20.70,20.74

758,20.70,20.74

759,20.70,20.74

760,20.70,20.71

761,20.70,20.68

762,20.70,20.68

763,20.70,20.66

764,20.70,20.66

765,20.70,20.65

766,20.70,20.65

767,20.70,20.68

768,20.70,20.68

769,20.70,20.71

770,20.70,20.71

771,20.70,20.72

772,20.70,20.73

773,20.70,20.71

774,20.70,20.73

775,20.70,20.75

776,20.70,20.74

777,20.70,20.75

